study_ID,author_first,year,thermal_strategy,taxa,species,species_OTL,origin,age,sex,trt_temp,bio_hier,trait,response,response_unit,disp_trait,disp_unit,sample_size,corr_coeff,corr_corrected,dispersal_def
24,Baktoft,2016,Ectotherm,Osteichthyes,Perca_fluviatilis,Perca fluviatilis,wild,Adult,Mixed,16,Organism,Metabolism,Standard MR,residual O2 consumption (mg_O2_kg_h),Exploration,activity outside buffer zone,16,-0.283721,n,
24,Baktoft,2016,Ectotherm,Osteichthyes,Perca_fluviatilis,Perca fluviatilis,wild,Adult,Mixed,16,Organism,Metabolism,Aerobic scope,ratio,Exploration,activity outside buffer zone,16,-0.0811453,n,
25,Chappell,2007,Endotherm,Mammalia,Meriones_unguiculatus,Meriones unguiculatus,lab,Adult,Male,23,Organism,Metabolism,Basal MR,residual O2 consumption (ml O2 min),Activity,km day,27,0.086,n,
25,Chappell,2007,Endotherm,Mammalia,Meriones_unguiculatus,Meriones unguiculatus,lab,Adult,Male,23,Organism,Metabolism,Basal MR,residual O2 consumption (ml O2 min),Activity,min day,27,0.052,n,
25,Chappell,2007,Endotherm,Mammalia,Meriones_unguiculatus,Meriones unguiculatus,lab,Adult,Male,23,Organism,Metabolism,Resting MR,residual O2 consumption (ml O2 min),Activity,km day,40,-0.09,n,
25,Chappell,2007,Endotherm,Mammalia,Meriones_unguiculatus,Meriones unguiculatus,lab,Adult,Male,23,Organism,Metabolism,Resting MR,residual O2 consumption (ml O2 min),Activity,min day,40,-0.094,n,
25,Chappell,2007,Endotherm,Mammalia,Meriones_unguiculatus,Meriones unguiculatus,lab,Adult,Male,23,Organism,Metabolism,Max MR,residual O2 consumption (ml O2 min),Activity,km day,40,0.628,n,
25,Chappell,2007,Endotherm,Mammalia,Meriones_unguiculatus,Meriones unguiculatus,lab,Adult,Male,23,Organism,Metabolism,Max MR,residual O2 consumption (ml O2 min),Activity,min day,40,0.403,n,
25,Chappell,2007,Endotherm,Mammalia,Meriones_unguiculatus,Meriones unguiculatus,lab,Adult,Male,23,Organism,Metabolism,Aerobic scope,ratio,Activity,km day,40,-0.05,n,
25,Chappell,2007,Endotherm,Mammalia,Meriones_unguiculatus,Meriones unguiculatus,lab,Adult,Male,23,Organism,Metabolism,Aerobic scope,ratio,Activity,min day,40,0.033,n,
25,Chappell,2007,Endotherm,Mammalia,Meriones_unguiculatus,Meriones unguiculatus,lab,Adult,Male,23,Organism,Metabolism,Routine MR,residual O2 consumption (ml O2 min),Activity,km day,40,0.383,n,
25,Chappell,2007,Endotherm,Mammalia,Meriones_unguiculatus,Meriones unguiculatus,lab,Adult,Male,23,Organism,Metabolism,Routine MR,residual O2 consumption (ml O2 min),Activity,min day,40,0.361,n,
25,Chappell,2007,Endotherm,Mammalia,Meriones_unguiculatus,Meriones unguiculatus,lab,Adult,Male,23,Organism,Locomotor capacity,Sprint speed,residual (km h),Activity,km day,34,-0.183,n,
25,Chappell,2007,Endotherm,Mammalia,Meriones_unguiculatus,Meriones unguiculatus,lab,Adult,Male,23,Organism,Locomotor capacity,Sprint speed,residual (km h),Activity,min day,34,-0.214,n,
26,Finstad,2007,Ectotherm,Osteichthyes,Salmo_salar,Salmo salar,lab,Juvenile,Mixed,3.9,Organism,Metabolism,Standard MR,J g day,Activity,n,23,0.045204848,n,
27,Girardier,1995,Endotherm,Mammalia,Rattus_norvegicus,Rattus norvegicus,lab,Adult,Mixed,22,Organism,Metabolism,Resting MR,mW,Activity,m h,8,0.159000154,n,
28,Careau,2014,Endotherm,Aves,Taeniopygia_guttata,Taeniopygia guttata,lab,Adult,Female,22,Cellular,Cardiovascular,Haematocrit,%,Activity,%,36,0.84,n,
28,Careau,2014,Endotherm,Aves,Taeniopygia_guttata,Taeniopygia guttata,lab,Adult,Female,22,Macromolecule,Hormone,Corticosterone,ng ml,Activity,%,36,0.11,n,
28,Careau,2014,Endotherm,Aves,Taeniopygia_guttata,Taeniopygia guttata,lab,Adult,Female,22,Organism,Metabolism,Basal MR,residual O2 consumption (ml O2 h),Activity,%,36,-0.62,n,
28,Careau,2014,Endotherm,Aves,Taeniopygia_guttata,Taeniopygia guttata,lab,Adult,Female,22,Cellular,Cardiovascular,Haematocrit,%,Activity,%,28,-0.03,n,
28,Careau,2014,Endotherm,Aves,Taeniopygia_guttata,Taeniopygia guttata,lab,Adult,Female,22,Macromolecule,Hormone,Corticosterone,ng ml,Activity,%,28,-0.2,n,
28,Careau,2014,Endotherm,Aves,Taeniopygia_guttata,Taeniopygia guttata,lab,Adult,Female,22,Organism,Metabolism,Basal MR,residual O2 consumption (ml O2 h),Activity,%,28,-0.45,n,
29,Lebeau,2016,Ectotherm,Invertebrate,Maniola jurtina,Maniola jurtina,wild,Adult,Female,30.17166263,Organism,Metabolism,Resting MR,ml CO2 h,Activity,m,17,-0.076899831,n,
29,Lebeau,2016,Ectotherm,Invertebrate,Maniola jurtina,Maniola jurtina,wild,Adult,Female,30.29272933,Organism,Metabolism,Routine MR,ml CO2 h,Activity,m,17,0.213808422,n,
29,Lebeau,2016,Ectotherm,Invertebrate,Maniola jurtina,Maniola jurtina,wild,Adult,Female,30,Organism,Locomotor capacity,Endurance,s,Activity,m,17,0.811090055,n,
29,Lebeau,2016,Ectotherm,Invertebrate,Maniola jurtina,Maniola jurtina,wild,Adult,Female,30.41930736,Organism,Metabolism,Resting MR,ml CO2 h,Activity,m,27,0.047964533,n,
29,Lebeau,2016,Ectotherm,Invertebrate,Maniola jurtina,Maniola jurtina,wild,Adult,Female,30.74498283,Organism,Metabolism,Routine MR,ml CO2 h,Activity,m,27,0.535650081,n,
29,Lebeau,2016,Ectotherm,Invertebrate,Maniola jurtina,Maniola jurtina,wild,Adult,Female,30,Organism,Locomotor capacity,Endurance,s,Activity,m,27,0.825209047,n,
30,Dyck,2016,Ectotherm,Invertebrate,Pararge_aegeria,Pararge aegeria,wild,Adult,Male,30.6,Organism,Metabolism,Standard MR,residual CO2 production (ml_CO2_h),Activity,residual,91,-0.27,n,
30,Dyck,2016,Ectotherm,Invertebrate,Pararge_aegeria,Pararge aegeria,wild,Adult,Female,,Organism,Metabolism,Standard MR,residual CO2 production (ml_CO2_h),Activity,residual,108,-0.12,n,
30,Dyck,2016,Ectotherm,Invertebrate,Pararge_aegeria,Pararge aegeria,wild,Adult,Male,,Organism,Metabolism,Routine MR,residual CO2 production (ml_CO2_h),Activity,residual,93,0.61,n,
30,Dyck,2016,Ectotherm,Invertebrate,Pararge_aegeria,Pararge aegeria,wild,Adult,Female,,Organism,Metabolism,Routine MR,residual CO2 production (ml_CO2_h),Activity,residual,109,0.57,n,
31,McDonald,2007,Ectotherm,Osteichthyes,Oncorhynchus_mykiss,Oncorhynchus mykiss gairdneri,lab,Juvenile,Mixed,14,Organism,Locomotor capacity,Endurance,min,Activity,n transits,12,0.92569803,n,
32,Seebacher,2015,Ectotherm,Osteichthyes,Danio_rerio,Danio rerio,lab,Adult,Mixed,,Organism,Locomotor capacity,Ucrit,Pathway model,Activity,BL s,24,0.41,n,
32,Seebacher,2015,Ectotherm,Osteichthyes,Danio_rerio,Danio rerio,lab,Adult,Mixed,23,Organism,Musculoskeletal,Muscle biomechanics,Pathway model,Activity,BL s,24,0.5,n,
33,Seebacher,2016,Ectotherm,Osteichthyes,Danio_rerio,Danio rerio,lab,Adult,Mixed,18,Organism,Locomotor capacity,Ucrit,m s,Activity,m s,12,0.2458525,n,
33,Seebacher,2016,Ectotherm,Osteichthyes,Danio_rerio,Danio rerio,lab,Adult,Mixed,24,Organism,Locomotor capacity,Ucrit,m s,Activity,m s,12,-0.2867616,n,
33,Seebacher,2016,Ectotherm,Osteichthyes,Danio_rerio,Danio rerio,lab,Adult,Mixed,30,Organism,Locomotor capacity,Ucrit,m s,Activity,m s,13,0.68927,n,
33,Seebacher,2016,Ectotherm,Osteichthyes,Danio_rerio,Danio rerio,lab,Adult,Mixed,18,Organism,Locomotor capacity,Ucrit,m s,Activity,m s,12,0.1186094,n,
33,Seebacher,2016,Ectotherm,Osteichthyes,Danio_rerio,Danio rerio,lab,Adult,Mixed,24,Organism,Locomotor capacity,Ucrit,m s,Activity,m s,12,-0.1448508,n,
33,Seebacher,2016,Ectotherm,Osteichthyes,Danio_rerio,Danio rerio,lab,Adult,Mixed,30,Organism,Locomotor capacity,Ucrit,m s,Activity,m s,13,0.1214463,n,
33,Seebacher,2016,Ectotherm,Osteichthyes,Danio_rerio,Danio rerio,lab,Adult,Mixed,18,Organism,Locomotor capacity,CoT,W kg,Activity,m s,12,-0.31652241,y,
33,Seebacher,2016,Ectotherm,Osteichthyes,Danio_rerio,Danio rerio,lab,Adult,Mixed,24,Organism,Locomotor capacity,CoT,W kg,Activity,m s,13,0.06223095,y,
33,Seebacher,2016,Ectotherm,Osteichthyes,Danio_rerio,Danio rerio,lab,Adult,Mixed,30,Organism,Locomotor capacity,CoT,W kg,Activity,m s,14,-0.37401681,y,
33,Seebacher,2016,Ectotherm,Osteichthyes,Danio_rerio,Danio rerio,lab,Adult,Mixed,18,Organism,Locomotor capacity,CoT,W kg,Activity,m s,12,-0.5496612,y,
33,Seebacher,2016,Ectotherm,Osteichthyes,Danio_rerio,Danio rerio,lab,Adult,Mixed,24,Organism,Locomotor capacity,CoT,W kg,Activity,m s,13,0.5208151,y,
33,Seebacher,2016,Ectotherm,Osteichthyes,Danio_rerio,Danio rerio,lab,Adult,Mixed,30,Organism,Locomotor capacity,CoT,W kg,Activity,m s,14,0.2750186,y,
34,Le Roy,2018,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,Adult,Male,22,Macromolecule,Metabolism,Muscle lactate dehydrogenase,umol g min,Exploration,s,10,-0.448939804,y,time to leave first pool
34,Le Roy,2018,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,Adult,Female,22,Macromolecule,Metabolism,Muscle lactate dehydrogenase,umol g min,Exploration,s,11,-0.221006306,y,
34,Le Roy,2018,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,Adult,Male,30,Macromolecule,Metabolism,Muscle lactate dehydrogenase,umol g min,Exploration,s,9,-0.225033637,y,
34,Le Roy,2018,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,Adult,Female,30,Macromolecule,Metabolism,Muscle lactate dehydrogenase,umol g min,Exploration,s,11,0.582081339,y,
34,Le Roy,2018,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,Adult,Male,22,Macromolecule,Metabolism,Muscle citrate synthase,umol g min,Exploration,s,10,0.166698309,y,
34,Le Roy,2018,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,Adult,Female,22,Macromolecule,Metabolism,Muscle citrate synthase,umol g min,Exploration,s,11,0.171622768,y,
34,Le Roy,2018,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,Adult,Male,30,Macromolecule,Metabolism,Muscle citrate synthase,umol g min,Exploration,s,9,-0.372913954,y,
34,Le Roy,2018,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,Adult,Female,30,Macromolecule,Metabolism,Muscle citrate synthase,umol g min,Exploration,s,11,-0.027549994,y,
34,Le Roy,2018,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,Adult,Male,22,Macromolecule,Metabolism,Muscle lactate dehydrogenase,umol g min,Exploration,n,10,-0.523133602,n,number of dispersal decisions
34,Le Roy,2018,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,Adult,Female,22,Macromolecule,Metabolism,Muscle lactate dehydrogenase,umol g min,Exploration,n,11,-0.310437488,n,
34,Le Roy,2018,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,Adult,Male,30,Macromolecule,Metabolism,Muscle lactate dehydrogenase,umol g min,Exploration,n,9,-0.464260867,n,
34,Le Roy,2018,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,Adult,Female,30,Macromolecule,Metabolism,Muscle lactate dehydrogenase,umol g min,Exploration,n,11,0.191904691,n,
34,Le Roy,2018,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,Adult,Male,22,Macromolecule,Metabolism,Muscle citrate synthase,umol g min,Exploration,n,10,0.246906133,n,
34,Le Roy,2018,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,Adult,Female,22,Macromolecule,Metabolism,Muscle citrate synthase,umol g min,Exploration,n,11,0.082728196,n,
34,Le Roy,2018,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,Adult,Male,30,Macromolecule,Metabolism,Muscle citrate synthase,umol g min,Exploration,n,9,-0.046736973,n,
34,Le Roy,2018,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,Adult,Female,30,Macromolecule,Metabolism,Muscle citrate synthase,umol g min,Exploration,n,11,-0.032957552,n,
34,Le Roy,2018,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,Adult,Male,22,Macromolecule,Metabolism,Muscle lactate dehydrogenase,umol g min,Activity,m s,10,0.342570276,n,
34,Le Roy,2018,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,Adult,Female,22,Macromolecule,Metabolism,Muscle lactate dehydrogenase,umol g min,Activity,m s,7,-0.218502194,n,
34,Le Roy,2018,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,Adult,Male,30,Macromolecule,Metabolism,Muscle lactate dehydrogenase,umol g min,Activity,m s,11,-0.772212192,n,
34,Le Roy,2018,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,Adult,Female,30,Macromolecule,Metabolism,Muscle lactate dehydrogenase,umol g min,Activity,m s,10,-0.265697986,n,
34,Le Roy,2018,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,Adult,Male,22,Macromolecule,Metabolism,Muscle citrate synthase,umol g min,Activity,m s,10,-0.467972865,n,
34,Le Roy,2018,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,Adult,Female,22,Macromolecule,Metabolism,Muscle citrate synthase,umol g min,Activity,m s,7,-0.062383363,n,
34,Le Roy,2018,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,Adult,Male,30,Macromolecule,Metabolism,Muscle citrate synthase,umol g min,Activity,m s,11,-0.566472196,n,
34,Le Roy,2018,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,Adult,Female,30,Macromolecule,Metabolism,Muscle citrate synthase,umol g min,Activity,m s,10,0.186590048,n,
34,Le Roy,2018,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,Adult,Male,22,Organism,Locomotor capacity,Ucrit,BL s,Exploration,s,10,0.467591296,y,number of dispersal decisions
34,Le Roy,2018,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,Adult,Female,22,Organism,Locomotor capacity,Ucrit,BL s,Exploration,s,7,0.327798332,y,
34,Le Roy,2018,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,Adult,Male,30,Organism,Locomotor capacity,Ucrit,BL s,Exploration,s,11,-0.048422009,y,
34,Le Roy,2018,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,Adult,Female,30,Organism,Locomotor capacity,Ucrit,BL s,Exploration,s,10,-0.553425897,y,
34,Le Roy,2018,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,Adult,Male,22,Organism,Locomotor capacity,Ucrit,BL s,Exploration,n,10,0.155696681,n,number of dispersal decisions
34,Le Roy,2018,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,Adult,Female,22,Organism,Locomotor capacity,Ucrit,BL s,Exploration,n,7,0.138646434,n,
34,Le Roy,2018,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,Adult,Male,30,Organism,Locomotor capacity,Ucrit,BL s,Exploration,n,11,0.374471256,n,
34,Le Roy,2018,Ectotherm,Osteichthyes,Poecilia_reticulata,Poecilia reticulata,lab,Adult,Female,30,Organism,Locomotor capacity,Ucrit,BL s,Exploration,n,10,-0.319240625,n,
