study_ID,author_first,year,thermal_strategy,taxa,species,species_OTL,origin,age,sex,trt_temp,bio_hier,trait,response,response_unit,disp_trait,disp_unit,sample_size,corr_coeff,corr_corrected,dispersal_def
1,Arnold,2017,Ectotherm,Invertebrate,Tribolium_castaneum,Tribolium castaneum,lab,Adult,Male,29.5,Organism,Metabolism,Routine MR,residual CO2 production (ul_CO2_h),Exploration,PC1,145,-0.02766749,n,"movement = high speed, low behavioural intermittence"
1,Arnold,2017,Ectotherm,Invertebrate,Tribolium_castaneum,Tribolium castaneum,lab,Adult,Male,29.5,Organism,Metabolism,Routine MR,residual CO2 production (ul_CO2_h),Exploration,PC2,145,-0.09355082,n,movement disp = linear distance travelled and low time in maze edge
1,Arnold,2017,Ectotherm,Invertebrate,Tribolium_castaneum,Tribolium castaneum,lab,Adult,Male,29.5,Organism,Metabolism,Routine MR,residual CO2 production (ul_CO2_h),Activity,counts_h,145,0.1170228,n,
1,Arnold,2017,Ectotherm,Invertebrate,Tribolium_castaneum,Tribolium castaneum,lab,Adult,Female,29.5,Organism,Metabolism,Routine MR,residual CO2 production (ul_CO2_h),Exploration,PC1,145,0.05459229,n,
1,Arnold,2017,Ectotherm,Invertebrate,Tribolium_castaneum,Tribolium castaneum,lab,Adult,Female,29.5,Organism,Metabolism,Routine MR,residual CO2 production (ul_CO2_h),Exploration,PC2,145,-0.13124677,n,
1,Arnold,2017,Ectotherm,Invertebrate,Tribolium_castaneum,Tribolium castaneum,lab,Adult,Female,29.5,Organism,Metabolism,Routine MR,residual CO2 production (ul_CO2_h),Activity,counts_h,145,0.1214956,n,
2,Munn,2016,Endotherm,Mammalia,Macropus_fuliginosus,Macropus fuliginosus,wild,Adult,Female,NA,Organism,Metabolism,Field MR,MJ d,Activity,km_d,5,0.8795435,n,
2,Munn,2016,Endotherm,Mammalia,Ovis_aries,Ovis aries,wild,Adult,Female,NA,Organism,Metabolism,Field MR,MJ d,Activity,km_d,5,-0.8556018,n,
3,Niitepold,2011,Ectotherm,Invertebrate,Melitaea_cinxia,Melitaea cinxia,wild,Adult,Male,32.9,Organism,Metabolism,Max MR,residual CO2 production (ul_CO2_h),Dispersal,residual rate,15,-0.5021003,n,observed number of movements between habitat patches during mark-recapture
3,Niitepold,2011,Ectotherm,Invertebrate,Melitaea_cinxia,Melitaea cinxia,wild,Adult,Female,32.9,Organism,Metabolism,Max MR,residual CO2 production (ul_CO2_h),Dispersal,residual rate,16,0.3025035,n,
3,Niitepold,2011,Ectotherm,Invertebrate,Melitaea_cinxia,Melitaea cinxia,wild,Adult,Male,32.9,Organism,Metabolism,Max MR,residual CO2 production (ul_CO2_h),Activity,s,23,-0.2797788,n,
3,Niitepold,2011,Ectotherm,Invertebrate,Melitaea_cinxia,Melitaea cinxia,wild,Adult,Female,32.9,Organism,Metabolism,Max MR,residual CO2 production (ul_CO2_h),Activity,s,11,0.5528124,n,
4,Gilfford,2014,Ectotherm,Amphibia,Desmognathus_brimleyorum,Desmognathus brimleyorum,wild,Adult,Mixed,15,Organism,Metabolism,Standard MR,residual O2 consumption (ul_O2_h),Exploration,residual rate,19,-0.2,n,number of grid squares crossed in 15 min observation
4,Gilfford,2014,Ectotherm,Amphibia,Desmognathus_brimleyorum,Desmognathus brimleyorum,wild,Adult,Mixed,15,Organism,Metabolism,Standard MR,residual O2 consumption (ul_O2_h),Exploration,residual rate,19,-0.41,n,
5,Careau,2015,Endotherm,Mammalia,Tamias_striatus,Tamias striatus,wild,Adult,Mixed,30,Organism,Metabolism,Resting MR,residual mW,Exploration,residual,296,-0.143,n,total number of line crosses
5,Careau,2015,Endotherm,Mammalia,Tamias_striatus,Tamias striatus,wild,Adult,Mixed,NA,Organism,Metabolism,Field MR,residual mW,Exploration,residual,64,-0.316,n,
6,Biro,2019,Ectotherm,Osteichthyes,Gambusia_affinis,Gambusia affinis,wild,Adult,Male,25,Organism,Metabolism,Resting MR,residual O2 production (mg_O2_h),Activity,residual rate,30,-0.58,n,
7,Oliverira,2020,Endotherm,Mammalia,Crocidura_russula,Crocidura russula,wild,Adult,Mixed,30,Organism,Metabolism,Resting MR,mass-corrected mW,Exploration,s,17,-0.32,y,latency to exit
7,Oliverira,2020,Endotherm,Mammalia,Crocidura_russula,Crocidura russula,wild,Adult,Mixed,30,Organism,Metabolism,Resting MR,mass-corrected mW,Exploration,n,17,0.14,n,number of squares visited
8,Toscano,2015,Ectotherm,Invertebrate,Panopeus_herbstii,Panopeus herbstii,wild,Adult,Male,21,Organism,Metabolism,Resting MR,mass-corrected O2 consumption (umol O2 h g),Activity,proportion activity time,13,-0.47,n,proportion of observations active out of 20 total observations
9,Krams,2017,Ectotherm,Invertebrate,Gryllus_integer,Gryllus integer,lab,Adult,Mixed,25,Organism,Metabolism,Resting MR,mass-corrected CO2 production (ml Co2 g h),Exploration,min,46,0.345,y,Time between entering the tube and resuming activity
10,Hurlmann,2019,Endotherm,Mammalia,Microtus_arvalis,Microtus arvalis,wild,Adult,Mixed,30,Organism,Metabolism,Resting MR,residual O2 consumption (ml_O2_h),Exploration,n,75,0.14,n,number of lines crossed
11,McKenzie,2021,Ectotherm,Osteichthyes,Clarias_gariepinus,Clarias gariepinus,lab,Juvenile,Mixed,25,Organism,Metabolism,Resting MR,mass-corrected O2 consumption (mmol O2 kg h),Activity,min,58,-0.339,n,time spent moving
11,McKenzie,2021,Ectotherm,Osteichthyes,Clarias_gariepinus,Clarias gariepinus,lab,Juvenile,Mixed,25,Organism,Metabolism,Resting MR,mass-corrected O2 consumption (mmol O2 kg h),Exploration,min,58,-0.245,n,number of lines crossed
12,Royaute,2015,Ectotherm,Invertebrate,Acheta_domesticus,Acheta domesticus,lab,Juvenile,Mixed,NA,Organism,Metabolism,Routine MR,residual CO2 production (umol_CO2_h),Exploration,s,43,0.15,n,number of unique zones visited
13,Bouwhuis,2013,Endotherm,Aves,Parus_major,Parus major,wild,Adult,Male,,Organism,Metabolism,Basal MR,mass-corrected W,Exploration,,345,0.05547002,n,movement in novel environment
13,Bouwhuis,2013,Endotherm,Aves,Parus_major,Parus major,wild,Adult,Female,,Organism,Metabolism,Basal MR,mass-corrected W,Exploration,,335,-0.139699689,n,movement in novel environment
14,Le Galliard,2013,Ectotherm,Reptilia,Zootoca_vivipara,Zootoca vivipara,wild,Juvenile,Mixed,25,Organism,Metabolism,Resting MR,mass-corrected O2 consumption (ml O2 g h),Exploration,PC1,170,0.03,n,
14,Le Galliard,2013,Ectotherm,Reptilia,Zootoca_vivipara,Zootoca vivipara,wild,Juvenile,Mixed,25,Organism,Locomotor capacity,Sprint speed,ms,Exploration,PC1,170,0,n,
14,Le Galliard,2013,Ectotherm,Reptilia,Zootoca_vivipara,Zootoca vivipara,wild,Juvenile,Mixed,32,Organism,Locomotor capacity,Endurance,s,Exploration,PC1,87,0.13,n,
14,Le Galliard,2013,Ectotherm,Reptilia,Zootoca_vivipara,Zootoca vivipara,wild,Juvenile,Mixed,25,Organism,Metabolism,Resting MR,mass-corrected O2 consumption (ml O2 g h),Exploration,PC1,52,-0.04,n,
14,Le Galliard,2013,Ectotherm,Reptilia,Zootoca_vivipara,Zootoca vivipara,wild,Juvenile,Mixed,25,Organism,Locomotor capacity,Sprint speed,ms,Exploration,PC1,52,0.27,n,
14,Le Galliard,2013,Ectotherm,Reptilia,Zootoca_vivipara,Zootoca vivipara,wild,Juvenile,Mixed,32,Organism,Locomotor capacity,Endurance,s,Exploration,PC1,53,0.25,n,
15,Pena-Villalobos,2020,Endotherm,Mammalia,Mus_musculus,Mus musculus domesticus,lab,Juvenile,Male,25,Macromolecule,Metabolism,Muscle citrate synthase,umol min mg protein,Exploration,n,44,0.66,n,number of squares crossed
15,Pena-Villalobos,2020,Endotherm,Mammalia,Mus_musculus,Mus musculus domesticus,lab,Juvenile,Male,25,Macromolecule,Metabolism,Muscle cytochrome c oxidase,umol min mg protein,Exploration,n,44,0.58,n,
15,Pena-Villalobos,2020,Endotherm,Mammalia,Mus_musculus,Mus musculus domesticus,lab,Juvenile,Male,25,Macromolecule,Metabolism,Liver citrate synthase,,Activity,%,44,-0.404,n,
15,Pena-Villalobos,2020,Endotherm,Mammalia,Mus_musculus,Mus musculus domesticus,lab,Juvenile,Male,25,Macromolecule,Metabolism,Liver cytochrome c oxidase,umol min mg protein,Activity,%,44,-0.938,n,
15,Pena-Villalobos,2020,Endotherm,Mammalia,Mus_musculus,Mus musculus domesticus,lab,Juvenile,Male,30,Organism,Metabolism,Resting MR,residual O2 consumption (ml_O2_h),Activity,%,44,-0.757,n,
16,Newar,2018,Endotherm,Mammalia,Tamias_striatus,Tamias striatus,wild,Adult,Mixed,,Organism,Locomotor capacity,Sprint speed,ms,Exploration,cm,43,-0.593,n,distance moved
17,Maldonado,2021,Endotherm,Aves,Zonotrichia_capensis,Zonotrichia capensis,wild,Adult,Mixed,30,Organism,Metabolism,Basal MR,ml O2 min,Exploration,,19,-0.412,n,Shannon’s diversity index
17,Maldonado,2021,Endotherm,Aves,Zonotrichia_capensis,Zonotrichia capensis,wild,Adult,Mixed,30,Organism,Metabolism,Basal MR,ml O2 min,Exploration,,19,0.469,n,
17,Maldonado,2021,Endotherm,Aves,Zonotrichia_capensis,Zonotrichia capensis,wild,Adult,Mixed,30,Organism,Metabolism,Basal MR,ml O2 min,Exploration,,24,-0.3,n,
18,Finkemeier,2015,Endotherm,Mammalia,Cavia_aperea,Cavia aperea,lab,Juvenile,Mixed,20,Organism,Metabolism,Resting MR,residual W,Exploration,n,63,0.12,n,number of times in new enclosure
19,Guenther,2015,Endotherm,Mammalia,Cavia_aperea,Cavia aperea,lab,Juvenile,Mixed,20,Organism,Metabolism,Resting MR,mass-corrected O2 consumption (ml O2 kg min),Exploration,n,39,-0.24,n,number of times in new enclosure
20,Vaanholt,2012,Endotherm,Mammalia,Mus_domesticus,Mus musculus domesticus,lab,Juvenile,Mixed,30,Organism,Metabolism,Resting MR,mass-corrected O2 consumption (KJ g d),Activity,n d,122,0.114,n,
21,Careau,2011,Endotherm,Mammalia,Peromyscus_maniculatus,Peromyscus maniculatus sonoriensis,lab,Adult,Mixed,24,Organism,Metabolism,Resting MR,covariate ml O2 h,Activity,,105,0.12,n,distance moved
22,Stoltey,2009,Ectotherm,Invertebrate,Aphonopelma_anax,Aphonopelma anax,wild,Adult,Male,30,Organism,Metabolism,Resting MR,ml CO2 h,Activity,m day,23,-0.099447822,n,distance moved
23,Farwell,2009,Ectotherm,Osteichthyes,Salvelinus_fontinalis,Salvelinus fontinalis,wild,Adult,Mixed,10.5,Organism,Metabolism,Resting MR,mass-corrected O2 consumption (umol O2 g min),Activity,proportion activity time,74,0.06,n,
23,Farwell,2009,Ectotherm,Osteichthyes,Salvelinus_fontinalis,Salvelinus fontinalis,wild,Adult,Mixed,10.5,Organism,Locomotor capacity,Endurance,s,Activity,proportion activity time,74,0.09,n,
24,Baktoft,2016,Ectotherm,Osteichthyes,Perca_fluviatilis,Perca fluviatilis,wild,Adult,Mixed,16,Organism,Metabolism,Standard MR,residual O2 consumption (mg_O2_kg_h),Activity,m day,16,-0.2822302,n,
24,Baktoft,2016,Ectotherm,Osteichthyes,Perca_fluviatilis,Perca fluviatilis,wild,Adult,Mixed,16,Organism,Metabolism,Aerobic scope,ratio,Activity,m day,16,-0.08006408,n,
